experiment,learning_rate,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error
H1a-noise,0.2,41052,6.855967235,1.290940382,7,0.012868486
H1a-noise,0.5,41052,2.428246533,0.798257635,3,0.025873284
H1a-noise,0.8,41052,1.555134057,0.297808637,0,0.03484724
H1a-noise,0.05,41053,19.583078137,1.502484207,20,0.573340729
H1a-noise,0.2,41053,6.616373864,1.240139994,8,0.00311518
H1a-noise,0.5,41053,2.739256574,0.782672018,2,0.019272424
H1a-noise,0.8,41053,1.917685251,0.321929217,1,0.001214541
H1a-noise,0.05,41054,18.992914458,1.51175835,20,0.550777469
H1a-noise,0.2,41054,5.628879717,1.284761541,6,0.004361842
H1a-noise,0.5,41054,2.121684937,0.86343199,2,0.032151734
H1a-noise,0.8,41054,1.563276858,0.415579947,1,0.064880247
H1a-noise,0.05,41055,19.856200953,1.529370458,20,0.594243071
H1a-noise,0.2,41055,6.913321629,1.306135702,8,0.044191755
H1a-noise,0.5,41055,2.567255339,0.846402661,2,0.058747433
H1a-noise,0.8,41055,1.811749466,0.385994841,1,0.125745324
H1a-noise,0.05,41056,19.385387177,1.519984933,20,0.565213937
H1a-noise,0.2,41056,6.127217627,1.281923715,7,0.006350729
H1a-noise,0.5,41056,2.008441753,0.821405139,2,0.004644121
H1a-noise,0.8,41056,1.596783437,0.37297568,1,0.03966986
H1a-noise,0.05,41057,19.570068471,1.533775849,20,0.580076481
H1a-noise,0.2,41057,6.300416342,1.321811834,7,0.056161863
H1a-noise,0.5,41057,2.529348919,0.867632375,2,0.099926866
H1a-noise,0.8,41057,1.682226439,0.404196082,1,0.144395839
H1a-noise,0.05,41058,19.573118649,1.511984336,20,0.583720542
H1a-noise,0.2,41058,6.660289889,1.271633275,7,0.030499677
H1a-noise,0.5,41058,2.241312502,0.790197812,2,0.002736879
H1a-noise,0.8,41058,1.336360931,0.287424554,0,0.012511499
H1a-noise,0.05,41059,19.52805739,1.526347909,20,0.579649175
H1a-noise,0.2,41059,6.460882112,1.316023139,7,0.033416779
H1a-noise,0.5,41059,2.297613975,0.881767451,2,0.014450706
H1a-noise,0.8,41059,1.345763156,0.434444683,1,0.010194905
H1a-noise,0.05,41060,19.40267569,1.521551828,20,0.573317362
H1a-noise,0.2,41060,6.108781436,1.271091795,7,0.027836634
H1a-noise,0.5,41060,1.892085605,0.771702431,2,0.018454537
H1a-noise,0.8,41060,1.417446364,0.281303045,0,0.046762445
H1a-noise,0.05,41061,19.721517552,1.522775316,20,0.584132081
H1a-noise,0.2,41061,6.708653927,1.288502267,8,0.024594544
H1a-noise,0.5,41061,2.343784446,0.812767041,2,0.019658519
H1a-noise,0.8,41061,1.508402226,0.358661232,1,0.051660184
H1a-noise,0.05,41062,19.633986987,1.520248388,20,0.588866815
H1a-noise,0.2,41062,6.602429646,1.278117666,7,0.051411851
H1a-noise,0.5,41062,2.190706043,0.792513931,2,0.044471791
H1a-noise,0.8,41062,1.504661191,0.297948755,0,0.06854897
H1a-noise,0.05,41063,19.157514192,1.493674323,20,0.575036787
H1a-noise,0.2,41063,6.084973692,1.222245497,6,0.058995118
H1a-noise,0.5,41063,2.007088475,0.704464313,2,0.079873155
H1a-noise,0.8,41063,1.419735143,0.170901187,0,0.10424983
H1a-noise,0.05,41064,19.663105829,1.543543675,20,0.562922682
H1a-noise,0.2,41064,6.470445346,1.346909808,7,0.027223267
H1a-noise,0.5,41064,2.32438745,0.920332987,2,0.054040283
H1a-noise,0.8,41064,1.591206489,0.461299306,1,0.049915392
H1a-noise,0.05,41065,19.248305746,1.503704815,20,0.566516258
H1a-noise,0.2,41065,6.05338467,1.240419082,7,0.021682274
H1a-noise,0.5,41065,2.457183449,0.775526468,2,0.005105895
H1a-noise,0.8,41065,1.82215702,0.331738889,1,0.011828916
H1a-noise,0.05,41066,19.719420594,1.508652493,20,0.604798931
H1a-noise,0.2,41066,7.040301142,1.259663706,7,0.073891954
H1a-noise,0.5,41066,2.635012123,0.808742964,2,0.057098803
H1a-noise,0.8,41066,1.775339698,0.357661678,1,0.082216424
H1a-noise,0.05,41067,19.538242078,1.524279658,20,0.565123508
H1a-noise,0.2,41067,6.44962467,1.313238038,7,0.009622991
H1a-noise,0.5,41067,2.353311617,0.881968814,2,0.033354245
H1a-noise,0.8,41067,1.555501923,0.426325924,1,0.01189471
H1a-noise,0.05,41068,19.520849253,1.512977694,20,0.564473385
H1a-noise,0.2,41068,6.455894478,1.255362348,8,0.015112438
H1a-noise,0.5,41068,2.336728265,0.747358463,2,0.023265252
H1a-noise,0.8,41068,1.747943761,0.253363743,0,0.020311357
H1a-noise,0.05,41069,19.162669075,1.503266063,20,0.545770388
H1a-noise,0.2,41069,5.881820343,1.22365157,7,0.029184213
H1a-noise,0.5,41069,2.099310514,0.708073798,2,0.043072783
H1a-noise,0.8,41069,1.34056058,0.226718059,0,0.009178013
H1a-noise,0.05,41070,19.525829048,1.52081742,20,0.585872394
H1a-noise,0.2,41070,6.48996801,1.289762472,6,0.04997512
H1a-noise,0.5,41070,2.207811219,0.840561382,2,0.027270966
H1a-noise,0.8,41070,1.445942767,0.388857663,1,0.007628108
H1a-noise,0.05,41071,19.444259686,1.519779227,20,0.56020678
