mechanism,severity,signed_parameter,mechanism_direction,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error,observed_fraction_full_sequence,observed_fraction_evaluation_window
missingness,0.5,0.5,not_directional,52041,5.347962574,0.802938978,5,0.002593855,0.4,0.4
missingness,0.0,0.0,not_directional,52042,2.138038877,0.732172433,2,0.045157984,1.0,1.0
missingness,0.1,0.1,not_directional,52042,2.16561413,0.746541966,2,0.045157957,0.933333333,1.0
missingness,0.3,0.3,not_directional,52042,2.74199057,0.785192773,3,0.000830002,0.6,0.7
missingness,0.5,0.5,not_directional,52042,4.482348817,0.745896248,7,0.022188224,0.333333333,0.4
missingness,0.0,0.0,not_directional,52043,2.357387613,0.819660026,2,0.097032704,1.0,1.0
missingness,0.1,0.1,not_directional,52043,2.741938987,0.819066195,3,0.136513649,0.866666667,0.85
missingness,0.3,0.3,not_directional,52043,2.957329261,0.819413017,4,0.136524393,0.7,0.7
missingness,0.5,0.5,not_directional,52043,4.567406812,0.819413017,5,0.13288313,0.533333333,0.45
missingness,0.0,0.0,not_directional,52044,2.078998992,0.795133438,2,0.111687563,1.0,1.0
missingness,0.1,0.1,not_directional,52044,2.44923267,0.791724131,2,0.111684088,0.9,0.95
missingness,0.3,0.3,not_directional,52044,5.106051632,1.573005553,6,0.110760422,0.666666667,0.7
missingness,0.5,0.5,not_directional,52044,5.092502496,1.589346532,6,0.102406301,0.6,0.65
missingness,0.0,0.0,not_directional,52045,2.349147228,0.827523665,2,0.05225554,1.0,1.0
missingness,0.1,0.1,not_directional,52045,2.317816612,0.827523665,2,0.05225724,0.966666667,0.95
missingness,0.3,0.3,not_directional,52045,2.559551608,0.831927655,2,0.082100911,0.733333333,0.75
missingness,0.5,0.5,not_directional,52045,2.437314249,0.831927655,2,0.050896105,0.666666667,0.65
missingness,0.0,0.0,not_directional,52046,2.365318264,0.732237859,2,0.129068486,1.0,1.0
missingness,0.1,0.1,not_directional,52046,2.352058118,0.731481793,2,0.110335734,0.933333333,0.95
missingness,0.3,0.3,not_directional,52046,2.418130661,0.714675347,2,0.095150606,0.666666667,0.65
missingness,0.5,0.5,not_directional,52046,3.847605015,0.723128078,3,0.018657731,0.4,0.35
missingness,0.0,0.0,not_directional,52047,1.864531371,0.691373215,2,0.019889643,1.0,1.0
missingness,0.1,0.1,not_directional,52047,1.92396375,0.694031464,2,0.019866798,0.933333333,0.95
missingness,0.3,0.3,not_directional,52047,2.211823973,0.693976251,3,0.011930367,0.833333333,0.85
missingness,0.5,0.5,not_directional,52047,2.30427462,0.69342466,3,0.019398588,0.7,0.75
missingness,0.0,0.0,not_directional,52048,2.194284796,0.764693828,2,0.023345358,1.0,1.0
missingness,0.1,0.1,not_directional,52048,2.75224246,0.764693828,3,0.023344104,0.966666667,0.95
missingness,0.3,0.3,not_directional,52048,3.274502994,0.765287744,4,0.028168541,0.833333333,0.85
missingness,0.5,0.5,not_directional,52048,3.281786417,0.768506341,4,0.026861903,0.633333333,0.6
missingness,0.0,0.0,not_directional,52049,2.086036672,0.790060631,2,0.027741352,1.0,1.0
missingness,0.1,0.1,not_directional,52049,3.084547582,0.810176938,3,0.027739482,0.9,0.95
missingness,0.3,0.3,not_directional,52049,5.556122955,1.585226663,4,0.035314807,0.766666667,0.8
missingness,0.5,0.5,not_directional,52049,5.450661385,1.587696409,4,0.010005689,0.566666667,0.65
missingness,0.0,0.0,not_directional,52050,2.371939495,0.862711485,2,0.013767476,1.0,1.0
missingness,0.1,0.1,not_directional,52050,2.372102478,0.862794228,2,0.013767476,0.966666667,1.0
missingness,0.3,0.3,not_directional,52050,2.518238444,0.862668248,2,0.013759127,0.833333333,0.85
missingness,0.5,0.5,not_directional,52050,2.772184294,0.863280137,2,0.013314413,0.5,0.6
missingness,0.0,0.0,not_directional,52051,1.745007602,0.716653193,2,0.023217275,1.0,1.0
missingness,0.1,0.1,not_directional,52051,1.710018575,0.696867199,2,0.023217313,0.933333333,1.0
missingness,0.3,0.3,not_directional,52051,1.750780194,0.683739643,2,0.023218187,0.8,0.85
missingness,0.5,0.5,not_directional,52051,3.224424007,1.567479287,3,0.023451447,0.666666667,0.65
missingness,0.0,0.0,not_directional,52052,2.227378524,0.808252281,2,0.05480742,1.0,1.0
missingness,0.1,0.1,not_directional,52052,2.103694326,0.808260346,2,0.003499919,0.866666667,0.85
missingness,0.3,0.3,not_directional,52052,2.220419848,0.808320273,2,0.037831082,0.633333333,0.6
missingness,0.5,0.5,not_directional,52052,4.116072304,0.77309864,8,0.068155658,0.366666667,0.35
missingness,0.0,0.0,not_directional,52053,2.565818249,0.844836173,2,0.059300896,1.0,1.0
missingness,0.1,0.1,not_directional,52053,3.326604759,0.844556175,3,0.06375327,0.8,0.75
